Source IP,Destination IP,Protocol,Length
192.168.43.247,40.79.197.35,TCP,54
192.168.43.247,40.79.197.35,TCP,66
40.79.197.35,192.168.43.247,TCP,66
192.168.43.247,40.79.197.35,TCP,54
192.168.43.247,40.79.197.35,TCP,611
40.79.197.35,192.168.43.247,TCP,54
40.79.197.35,192.168.43.247,TCP,54
192.168.43.247,40.79.197.35,TCP,54
40.79.197.35,192.168.43.247,TCP,1424
192.168.43.247,40.79.197.35,TCP,54
40.79.197.35,192.168.43.247,TCP,1424
192.168.43.247,40.79.197.35,TCP,54
40.79.197.35,192.168.43.247,TCP,1424
192.168.43.247,40.79.197.35,TCP,54
40.79.197.35,192.168.43.247,TCP,1424
192.168.43.247,40.79.197.35,TCP,54
40.79.197.35,192.168.43.247,TCP,936
192.168.43.247,40.79.197.35,TCP,54
192.168.43.247,40.79.197.35,TCP,134
192.168.43.247,40.79.197.35,TCP,505
192.168.43.247,40.79.197.35,TCP,1424
192.168.43.247,40.79.197.35,TCP,1424
192.168.43.247,40.79.197.35,TCP,1424
192.168.43.247,40.79.197.35,TCP,310
40.79.197.35,192.168.43.247,TCP,54
40.79.197.35,192.168.43.247,TCP,157
40.79.197.35,192.168.43.247,TCP,54
192.168.43.247,40.79.197.35,TCP,54
40.79.197.35,192.168.43.247,TCP,54
40.79.197.35,192.168.43.247,TCP,54
40.79.197.35,192.168.43.247,TCP,54
40.79.197.35,192.168.43.247,TCP,500
192.168.43.247,40.79.197.35,TCP,54
15.197.206.217,192.168.43.247,TCP,217
192.168.43.247,15.197.206.217,TCP,100
15.197.206.217,192.168.43.247,TCP,54
192.168.43.247,40.79.197.35,TCP,54
192.168.43.247,40.99.34.242,TCP,54
40.99.34.242,192.168.43.247,TCP,54
192.168.43.247,40.99.34.242,TCP,54
192.168.43.247,151.101.157.140,TCP,55
151.101.157.140,192.168.43.247,TCP,66
192.168.43.247,151.101.209.140,TCP,55
151.101.209.140,192.168.43.247,TCP,66
192.168.43.247,192.168.43.1,UDP,80
192.168.43.247,192.168.43.1,UDP,80
192.168.43.1,192.168.43.247,UDP,146
192.168.43.1,192.168.43.247,UDP,188
192.168.43.247,135.171.2.152,TCP,66
135.171.2.152,192.168.43.247,TCP,66
192.168.43.247,135.171.2.152,TCP,54
192.168.43.247,135.171.2.152,TCP,601
135.171.2.152,192.168.43.247,TCP,1424
135.171.2.152,192.168.43.247,TCP,1424
135.171.2.152,192.168.43.247,TCP,1424
135.171.2.152,192.168.43.247,TCP,1424
135.171.2.152,192.168.43.247,TCP,1018
192.168.43.247,135.171.2.152,TCP,54
192.168.43.247,135.171.2.152,TCP,142
192.168.43.247,135.171.2.152,TCP,1424
192.168.43.247,135.171.2.152,TCP,603
192.168.43.247,135.171.2.152,TCP,1424
192.168.43.247,135.171.2.152,TCP,1424
192.168.43.247,135.171.2.152,TCP,253
135.171.2.152,192.168.43.247,TCP,157
135.171.2.152,192.168.43.247,TCP,54
135.171.2.152,192.168.43.247,TCP,54
135.171.2.152,192.168.43.247,TCP,54
192.168.43.247,135.171.2.152,TCP,54
135.171.2.152,192.168.43.247,TCP,1424
135.171.2.152,192.168.43.247,TCP,1424
135.171.2.152,192.168.43.247,TCP,172
192.168.43.247,135.171.2.152,TCP,54
192.168.43.247,135.171.2.152,TCP,1424
192.168.43.247,135.171.2.152,TCP,590
192.168.43.247,135.171.2.152,TCP,1424
192.168.43.247,135.171.2.152,TCP,1424
135.171.2.152,192.168.43.247,TCP,931
135.171.2.152,192.168.43.247,TCP,66
135.171.2.152,192.168.43.247,TCP,931
135.171.2.152,192.168.43.247,TCP,66
192.168.43.247,135.171.2.152,TCP,66
15.197.206.217,192.168.43.247,TCP,309
192.168.43.247,15.197.206.217,TCP,100
15.197.206.217,192.168.43.247,TCP,54
15.197.206.217,192.168.43.247,TCP,252
192.168.43.247,15.197.206.217,TCP,101
15.197.206.217,192.168.43.247,TCP,54
192.168.43.247,151.101.157.140,TCP,55
151.101.157.140,192.168.43.247,TCP,66
192.168.43.247,151.101.209.140,TCP,55
151.101.209.140,192.168.43.247,TCP,66
192.168.43.247,15.197.206.217,TCP,272
15.197.206.217,192.168.43.247,TCP,54
15.197.206.217,192.168.43.247,TCP,93
192.168.43.247,15.197.206.217,TCP,54
15.197.206.217,192.168.43.247,TCP,306
192.168.43.247,15.197.206.217,TCP,100
15.197.206.217,192.168.43.247,TCP,306
15.197.206.217,192.168.43.247,TCP,54
192.168.43.247,15.197.206.217,TCP,66
15.197.206.217,192.168.43.247,TCP,255
192.168.43.247,15.197.206.217,TCP,183
192.168.43.247,15.197.206.217,TCP,102
15.197.206.217,192.168.43.247,TCP,54
15.197.206.217,192.168.43.247,TCP,54
15.197.206.217,192.168.43.247,TCP,313
192.168.43.247,15.197.206.217,TCP,54
192.168.43.247,151.101.157.140,TCP,55
151.101.157.140,192.168.43.247,TCP,66
192.168.43.247,151.101.209.140,TCP,55
151.101.209.140,192.168.43.247,TCP,66
15.197.206.217,192.168.43.247,TCP,217
192.168.43.247,15.197.206.217,TCP,100
15.197.206.217,192.168.43.247,TCP,54
